src	mt	src_ctx	tgt_ctx	src_ante	tgt_ante
Test whether they're Jewish or not. 	 Les tester pour savoir si elles 	 Weddings, bar mitzvahs. You know, this one just specializes in corporate inquiry. Corporate inquiry... truly God's work. Everything's cool, buddy. He's just gonna come in, sit down with the inmates who eat kosher, have a little convo... get to know them. 	 Mariages, bar-mitsva. La spécialité de ce rabbin, ce sont les enquêtes. Les enquêtes en entreprise, une vraie mission divine. Tout ira bien. Il va discuter avec quelques  détenues  qui mangent casher, histoire de papoter et d'apprendre à les connaître. 	 None 	 détenues 
You're paying them in sodium and MSG, and they want real money. 	 Tu les paies en sodium et en glutamate, elles 	 You know what? You really need to go fuck yourself. I need your advice. - I want 10% off the top. Your girls are rebelling. 	 Tu sais quoi ? Va te faire foutre. J'ai besoin de ton conseil. - Je veux 10 %. - Quoi ? Tes  filles  se rebellent. 	 None 	 filles 
It's so focused on what it desires, reason becomes background noise. 	 Tellement focalisé sur ce qu'il 	 And now you can't take not being close to me? You need to go. - Major... - No, just go, all right? The passionate mind is selfish. 	 Et maintenant tu ne peux pas supporter d'être loin de moi ? Tu dois partir. - Major... - Non, va t-en, ok ?  L'esprit  passionné est égoïste. 	 None 	 L'esprit 
Though perhaps because it threatened his own authority as much as the Crown's. 	 Peut-être parce qu'elle 	 This ball is their way of welcoming us. So clearly there can be no doubt about their loyalties? Actually, it is a bit unclear. Judge Shippen opposed the extension of royal authority, at least where taxation is concerned. But he also opposed last year's Pennsylvania constitution. 	 Ce bal est leur façon de nous accueillir. Qu'il n'y ait aucun doute sur leur loyauté ? En fait, ce n'est pas clair. Le juge Shippen s'est opposé à l'autorité royale, au moins en ce qui concerne les taxes. Mais il s'est aussi opposé à la  constitution  de Pennsylvanie. 	 None 	 constitution 
- It was stolen from the palace, and must be recovered before it falls into the hands of the rebel army. 	 -  <hon>Il<hoff>  a été volé au palais, et doit être récupéré avant qu'il 	 You will serve on full pay as a major. And all your debts will be cleared by the Crown. There is a valuable piece of royal property on a ship bound for New York. It is concealed inside a waxwork. - Concealed? 	 Vous toucherez la solde et serez nommé Major. Et toutes vos dettes seront épongées par la couronne. Il y a un  objet  royal de valeur sur un navire à destination de New York. Il est dissimulé dans une statue de cire. - Dissimulé ? 	 None 	 objet 
Placed on a roof, it guides the energy from a bolt harmlessly to the ground. 	 Placé sur un toit, il 	 Franklin calls it an armonica. It mechanically recreates the tones made by rubbing a wet finger around the rim of a wine glass. So he mechanized a parlor trick. Perhaps, but this parlor is testament to the man's genius and industry. Take his lightning rod. 	 Franklin le nomme armonica. Il produit mécaniquement le son d'un doigt humide frotté sur le bord d'un verre. Il a reproduit un jeu de salon. Peut-être, mais ce salon est la preuve du génie de l'homme. Comme ce  paratonnerre . 	 None 	 paratonnerre 
She had it designed especially for Miss Rosalie. 	 Elle 	 Mrs Grove does like to read the gossip columns. ~ She looks lovely. ~ Oh, that dress! Is it true it comes from Paris? Lady Mae's got a fashion house there. 	 Madame Grove aime lire les potins. - Elle est charmante. - Et cette robe! Est-il vrai qu'elle vient de Paris?  Lady Mae  a une maison de couture la -bas. 	 None 	 Lady Mae 
But it transformed into a soft curtain without a handle. 	 Mais elle 	 Not to hear what I was saying, but for the moment when I couldn't go on, when I would shut up. Then she could kill me. I ran to the door. I wanted to slam it behind me and lock it. 	 Pas pour entendre ce que je racontais, mais pour le moment ou je pourrais plus, quand je me tairais. Alors elle pourrait me tuer. J'ai fonce vers  la porte . Je voulais la claquer derriere moi et la fermer a cle. 	 None 	 la porte 
It s naked, it doesn t say anything, it s obvious. 	 Elle est nue, elle 	 You seem very nervous these days. Hummm... So relax. It isn t complicated. The truth has no need for ploys. 	 Je te trouve bien tendue, en ce moment. Hein ? Alors, détends-toi. C'est pas compliqué. La  vérité  n'a besoin d'aucun artifice. 	 None 	 vérité 
When is it over? 	 Il 	 You re fine. Yes, yes. You re doing just great. Thank you Doctor. Because I can t be sick with my film. I must have caught a cold. 	 Ecoutez, tout va bien. Oui, oui. Tout va même très bien. Merci, docteur. Parce qu'avec le  tournage , je ne peux pas me permettre d'être malade. 	 None 	 tournage 
Gonna get laid at the pool today if they let me. 	 Je nique à la piscine aujourd'hui si elles 	 What service? They make me give them oral in exchange for letting me stick around. What's the point of being a virgin anyways? Nobody cares when a guy loses it, but for some reason, it's this huge deal for girls. - Hey, what is that? - Smell of success. 	 Je leur fait des sucettes et en échange  ils  me laissent traîner là bas. De toute manière, à quoi ça sert d'être vierge ? On s'en fout quand un mec la perd, mais c'est toute une affaire pour les filles. - C'est quoi ça ? - L'odeur du succès. 	 None 	 ils 
But it also shows some inconspicuous... similarities to Colonel Killian's handwriting. 	 Mais elle 	 It's regarding a story we're airing on Wednesday night. Thank you. - Matley's here. - Yeah. I would say, based on our available handwriting evidence... yes, this is the same person. This signature on the June 24th document shows some conspicuous differences. 	 Cela concerne un sujet que nous allons diffuser mercredi soir. Merci. Matley est ici. En me basant sur les documents manuscrits disponibles... oui, c'est la même personne. Cette  signature  sur ce document du 24 juin montre des différences évidentes. 	 None 	 signature 
Does it have a camera in it? 	 Il 	 - Here we go. - What are we doing? I am taking you shopping. My baby is sad, and I'm gonna make him happy again. Look, I know shopping cheers you up, but it's just not really my thing. Well, what about this helicopter you control with an iPad? 	 Et voilà. - Quoi ? - On va faire du shopping. Mon bébé est triste, je vais lui donner le sourire. Je sais que t'aimes faire du shopping, mais moi, je m'en fiche. Même de cet  hélicoptère  qu'on dirige avec un iPad ? 	 None 	 hélicoptère 
No, you told me it was coming in on Tuesday. 	 Tu m'as dit qu'il 	 What's that smell? It's pigeon shit. I'll go out on a limb and say that you celebrated last night then you blacked out. And your point? Check came in, okay? You showed up at this time yesterday to sign for it. 	 C'est quoi cette odeur ? C'est de la merde de pigeon. Je parie que t'as fait la fête hier soir et que t'es tombé dans les pommes. - C'est-à-dire ? - Le  chèque  est arrivé. Tu t'es pointé exactement au même moment hier pour le signer. 	 None 	 chèque 
Dream of the day it would be mine. 	 Rêvant du jour où elle 	 I was raised by an archeologist. I recognize the patterns on the hilt. It's a fine example. I'd hardly tiptoe in here as a boy, so sacred was the laird's room. But I'd slip in when he was out at the fields, just to hold it for a few moments. 	 J'ai été élevée par un archéologue. Je reconnais les motifs sur la  poignée . C'est un beau spécimen. Petit garçon, je rentrais à peine ici, tellement la chambre du laird était sacrée. Mais je m'y glissais quand il était dans les cham ps , juste pour la tenir un moment. 	 None 	 poignée ps 
We'll watch for it and take them all down the second it arrives. 	 On va l'attendre et les attraper à la seconde où elle 	 old-school gun dealer. Kozik's trafficking illegal, untraceable firearms through his custom metal shop on Newcastle. Shipments are getting larger, more frequent, and now come with specialized parts, Including D.I.Y. kits to turn semis into fully automatics. All right, so, this has taken a lot of surveillance, time, and hard work, but we have a search warrant for Kozik's shop and arrest warrants for him and all of his pals. Today's shipment is due at 10:00 A.M. 	 Un dealer d'armes à l'ancienne. Kozik fait du trafic d'armes illégales et intraçables par le biais de son atelier sur Newcastle. Les livraisons deviennent plus importantes et nombreuses, et avec des pièces spéciales et le guide pour transformer les semis-automatiques en automatiques. Ça a demandé beaucoup de surveillance, de temps, et de travail, mais on a un mandat pour fouiller l'atelier de Kozik et des mandats d'arrestation pour lui et ses complices. La  livraison  est attendue pour 10h. 	 None 	 livraison 
Well, it got into Sundance Film Festival. 	 Il 	 ¶ I will hold... ¶ ¶ Forever ¶ ¶ Forever. ¶ Mercedes! We have amazing news. Remember that movie that Artie wrote for you but you were too busy on your own world tour so we gave it to me? 	 ♪ Je tiendrai bon... ♪ ♪ Pour toujours ♪ ♪ Pour toujours ♪ On a des nouvelles géniales. Rappelle-toi du  film  qu'Artie avait écrit pour toi mais que tu étais trop occupée par ta tournée mondiale ainsi on me l'a donné ? 	 None 	 film 
And if it fails, admit it frankly and try another. 	 "et si elle 	 They dodge and tiptoe. But I'd rather leave this office having accomplished something of value than secure another four years having done nothing at all. Franklin Delano Roosevelt ushered in an era of hope and progress when he proposed the New Deal. And at the time, his reforms were considered radical. But he once said, "This country demands bold, persistent experimentation. It is common sense to take a method and try it. 	 Ils esquivent et éludent. Mais je préfère laisser ce bureau en ayant accompli une chose de valeur plutôt que de m'assurer quatre ans de plus à ne rien faire. Franklin Delano Roosevelt a initié une époque d'espoir et de progrès quand il proposa le New Deal, et à l'époque, ses réformes étaient considérées radicales. Mais il a dit : "Ce pays a besoin de réformes profondes et audacieuses. "La raison, c'est d'essayer une  méthode , 	 None 	 méthode 
Why would it be? 	 Pourquoi il 	 - For what? An article on the dynamic duo? I mean, I may as well have been invisible. Well, I mean, maybe he just wanted our backstory for context. I'm sure the article will be all-inclusive. 	 - Pour quoi ? Un article sur le duo dynamique ? J'aurais tout aussi bien pu être invisible. Peut être qu'il voulait juste notre histoire pour le contexte Je suis sûr que l' article  sera sur nous tous. 	 None 	 article 
when really it should say "Partner," like yours does. 	 alors qu'il 	 Yeah, that's how my cousin died. - Really? - Well, drug overdose. But that's what he thought was happening. Hey, everybody! This is so silly, but my I.D. badge says "Employee" 	 C'est comme ça que mon cousin est mort. - Vraiment ? - D'une overdose. Mais c'est ce qu'il pensait qu'il arrivait. Salut tout le monde. C'est trop bête, mais mon  badge  dit "employée" 	 None 	 badge 
If it comes in contact with any metal, then it'll close the circuit and we should be able to hear it. 	 S'il 	 He's losing too much blood. The X-ray is full. No time for that. What are you doing? I'm gonna use this wire as a probe. 	 Il perd trop de sang. La radio est prête. On n'a pas le temps. Qu'est-ce que vous faites ? Ce  fil  va me servir de sonde. 	 None 	 fil 
Uh, it creaks, it groans. 	 Il 	 - Baby O'Riley! - Ah! Sven! It's been so long. - Riley, it's good to see you. - You, too. How's the boat? 	 La petite O'Riley ! Sven ! - Riley, contente de te voir. - Content aussi. Comment va le  bateau  ? 	 None 	 bateau 
Not as fast as it used to be. 	 Il 	 - Ah! Sven! It's been so long. - Riley, it's good to see you. - You, too. How's the boat? Uh, it creaks, it groans. 	 Sven ! - Riley, contente de te voir. - Content aussi. Comment va le  bateau  ? Il craque de partout. 	 None 	 bateau 
- Does it even work anymore? 	 - Il 	 This is your home, after all. Born right there. Ellen and I still laugh about that night. Gunnar won't let me buy a new phone. - He calls it the umbilicus. 	 C'est chez toi, après tout. Tu es née ici. Ellen et moi, on en rigole encore. Gunnar m'interdit de changer de  téléphone . - Il l'appelle le cordon ombilical. 	 None 	 téléphone 
I now have proof that it exists. 	 J'ai maintenant la preuve qu'il 	 You're here to help them. Over the millennia, they have gathered vast resources that could help you in your hunt. A legend has passed down through the centuries... concerning a book, an ancient tome of uncertain provenance and some say divine inspiration; the Occido Lumen. And, uh... what do you know of this book? 	 Vous êtes ici pour les aider. Depuis des millénaires, ils ont rassemblé de vastes ressources qui pourront vous aider dans votre traque. Une légende a traversé les siècles... elle concerne un livre, un volume ancien d'une origine inconnue certaines diraient qu'il vient de l'inspiration divine ; l'Occido Lumen. Et... que savez-vous sur ce  livre  ? 	 None 	 livre 
It's been overheating a lot and sometimes it just shuts off completely. 	 Elle surchauffe et parfois, elle 	 How hot is this girl, man? You know what, never mind. Hey... -How's it going? -Good. Can I help you with something? Yeah, I think something's wrong with my car. 	 C'est une bombe ? Laisse tomber. - Ça va ? - Je peux vous aider ? Oui, ma  voiture  a un problème. 	 None 	 voiture 
A little birdie told me it contains the First Song. 	 Un petit oiseau m'a dit qu'il 	 I'd shake your hand, but... I'm going to hold off on any reciprocation for the moment, but thank you. And you're funny. That's your gift. I brought you something. The Vanishing. 	 Je te serrerais bien la main, mais... je vais éviter tout échange pour le moment, mais merci. Et tu es drôle. Voici ton cadeau. Je t'ai amené quelque chose. La  Disparition . 	 None 	 Disparition 
If I leave it and it dies, then Davina and the others die with it. 	 Si je le quitte et qu'il 	 They need a heartbeat. What did you do to me? Hope's blood is now in you. You are now the bait. And this body is still linked to Davina and those children. 	 Il faut un battement de coeur. Qu'est-ce que tu m'as fait ? Le sang de Hope est maintenant en toi. Tu es désormais l'appât. Et ce  corps  est toujours lié à Davina et à ces enfants. 	 None 	 corps 
The reason wasn't able to identify it is because it's from an entirely new synthetic hallucinogenic. 	 Ce pourquoi il 	 - Closets. - Closets? - Never mind. - Okay. So I did a comprehensive analysis on the poison. 	 - De placards. - De placards ? - Peu importe. - Ok. Donc j'ai fait une analyse complète du  poison . 	 None 	 poison 
What is it telling you? 	 Qu'est-ce qu'il 	 Or all the other people you've helped. And what about the people I've gotten hurt? What do I... What do I tell them? Feel my heart. Come on, feel it. 	 Ou à tous ceux que vous avez aidés. Et ceux auxquels j'ai fait du mal ? Je leur dis quoi ? Sentez mon  cœur . Allez, sentez-le. 	 None 	 cœur 
Or if it thinks, it will not surely think thus. 	 Ou, s'il 	 I will no longer see the sun nor stars, or feel the winds play upon my cheeks. I shall ascend my funeral pile triumphantly and exalt in the agony of the torturing flames. The light of that conflagration will fade away. My ashes will be swept into the sea by the winds. My spirit will sleep in peace. 	 Je ne regarderai plus ni le soleil ni les étoiles, je ne sentirai plus le vent sur mes joues. Je monterai sur mon bûcher triomphalement. J'exulterai dans l'agonie de la torture des flammes. L'éclat de cet embrasement s'estompera. Mes cendres seront balayées jusqu'à la mer par les vents. Mon  esprit  dormira en paix. 	 None 	 esprit 
Could it? 	 Est-ce qu'il 	 - What's wrong with him? - We're gonna find out. L-let's give him steroids, and add an antiviral. You got it. Could it be something he picked up in a foreign country? 	 - Qu'est ce qui ne va pas ? - On va trouver. Donnez-lui des stéroïdes et ajoutez un antiviral. Compris. Est-ce qu' il  aurait pu attraper quelque chose à l'étranger ? 	 None 	 il 
Does it start? 	 Il 	 They are so good. Boy, the highlight of a very complicated childhood. I'll say, those damn aliens ain't gonna take these from my cold, dead hands. I broke into a lockbox. Found the keys to our truck out back. 	 Ils sont si bons. Oh, mec, les grandes lignes d'une enfance très compliquée. Ces aliens ne me les arracheront pas de mes mains mortes et froides. J'ai ouvert un coffre. Et j'ai trouvé les clés de notre  camion . 	 None 	 camion 
But each time, it resists extraction, almost like it's defending itself. 	 Mais à chaque fois, il 	 It's not about you. It's about everyone else. Damn, this salt is heavy. Plowman ain't paying me enough for this crap. Once the solution mixes with the pulverized meteor sample inside the centrifuge, the Genesis Element should be in its purest form for collection. 	 Ce n'est pas à propos de toi. C'est à propos des autres. Merde, ce sel est lourd. Les laboureurs ne me payent pas assez pour cette merde. Une fois que la solution est mélangée avec l'échantillon de météorite pulvérisé à l'intérieur de la centrifuge, l' élément  Génésis devrait être sous sa forme la plus pure pour la collecte. 	 None 	 élément 
wasn't it killed by rain? 	 il 	 Plowman Family Farms is proud to present to the world... the greatest agricultural breakthrough in a century. Tomorrow, at farms all across the drought-stricken Central Valley, we launch a cutting-edge, new rainmaking system... One that not only seeds clouds but also fortifies them with a nutrient-rich water source we call... Smart Rain. The tree in your vision... 	 Les fermes de la famille Plowman sont fières de présenter au monde... la plus grande découverte agricole du siècle. Demain, dans toutes les fermes autour de la vallée centrale frappée par la sécheresse, nous lançons un nouveau système avant-gardiste pour créer la pluie... Un qui n'ensemencera pas seulement les nuages mais les fortifiera aussi avec une source d'eau riche en éléments nutritifs que nous appelons.... Pluie Intelligente. L' arbre  dans ta vision... 	 None 	 arbre 
But it is... 	 - Si, il 	 You take out everything? - Yes all. Everything must be clean. No, not the pants. Keep it. 	 - Vous enlevez tout ? - Oui, tout. Il faut tout nettoyer. Non, pas le  caleçon . Gardez-le. 	 None 	 caleçon 
Yeah, it really could just be that it's a new neighborhood for him 	 Il 	 He has a fleet of limousines and cars for an executive transport service business type thing or what not, and he leased a car to Mr. Mosley. Now Mr. Ryan says that Mr. Mosley actually had access to his garage so that he could pick up and return a Cadillac, which is probably how he gained access to the main house, and why he knew the Ryans were on vacation in Cancún. But I assume he won't be working as a driver anymore. They could press more serious charges if they wanted. Um, the dog is what I'm concerned with. 	 Il a un parc de limousines et de voitures pour une entreprise de transport quelconque, et il louait une voiture à M. Mosley. M. Ryan dit que M. Mosley avait accès à son garage afin de prendre et de retourner une Cadillac. C'est probablement comme ça qu'il est entré dans la maison et qu'il savait que les Ryan étaient en vacances à Cancún. Je présume qu'il ne travaillera plus comme chauffeur. Ils pourraient engager des poursuites sérieuses. C'est du  chien  que je m'inquiète. 	 None 	 chien 
And if it starts hissing, I want you to beat on it, unless you want the pipes to explode. 	 S'il 	 You'll get used to it. Youse must be the Morgans. Yes. I'm Henry, and this is my wife, Abigail. The radiator's acting up. 	 Tu t'y habitueras. Vous devez être les Morgan. Oui. Je suis Henry, et voici ma femme, Abigail. Le  radiateur  a quelques problèmes. 	 None 	 radiateur 
She had it set. 	 Il 	 I was just going over the body. Lucas noted fractures in the right clavicle and radius. His theory, that along with the fatal blow, that these injures were sustained during the fracas. And what do you think? Well, looking at her wrist under magnification, it appears that her bone was moved back into alignment. 	 J'observais juste le corps. Lucas a relevé quelques fractures sur la clavicule et le radius droits. Sa théorie c'est que, comme le coup fatal, ces blessures ont été faites pendant la bagarre. Et qu'est-ce que toi tu en penses ? En se focalisant sur son poignet, on voit que son  os  n'était pas dans l'alignement. 	 None 	 os 
I know it detonates more reliably than ammonium nitrate, but... the smell reminds me of freshly mopped hallways. 	 Je sais qu'il 	 I will fight you forever. No, please, please do not do this. I have asked you respectfully for safe passage. You are obliged to take my message to the council. I see you like to use potassium chlorate. 	 Je ne cesserez jamais de vous combattre. Non, s'il-vous-plaît, je vous en prie, ne faites pas ça. Je vous ai demandé respectueusement un laisser-passer. Vous êtes obligé de transmettre mon message. au conseil. Je vois que vous aimez utiliser du  chlorate  de potassium. 	 None 	 chlorate 
Perhaps... they would not notice if it were to... disappear. 	 Peut-être qu'il 	 You can't be sure of that. Alan Fitch did not think so. Whether he is or not, it's a moot point. He needs to be eliminated. This prison of yours, The Factory, I understand the American public is unaware of its existence. 	 Vous n'en êtes pas sûr. Alan Fitch ne le pensait pas. Qu'il en soit une ou pas, c'est un point discutable. Il doit être éliminé. Votre  prison , l'Usine, j'ai cru comprendre que le public ignorait son existence. 	 None 	 prison 
And when it is, without anything to compare it to, very few people can tell the difference between a decent wine and the most exclusive wines on the planet. 	 Et quand il 	 And with his unmatched supply of fine wines, he has single-handedly shaped the PGS into the envy of every wine club in the world. If they love him that much, they can't know the wine's fake. - Well, he didn't seem to, either. - How is that possible? Well, for one, the wine is too valuable to open. 	 Et avec sa source inégalable de grands vins, il a fait d'une seule main, du PGS un club envié par tout les autres clubs du monde. S'ils l'aiment tant, ils ne savent sûrement pas que le vin est faux. - Apparemment, lui non plus. - Comment est-ce possible ? D'une, le  vin  a trop de valeur pour être ouvert. 	 None 	 vin 
You know, last spring my cousin Karen went to go put on her running shoes for her daily jog. Didn't know one was hiding in there; it stung her big toe. 	 Le printemps dernier, ma cousine Karen a voulu mettre ses basket pour faire son jogging sans savoir qu'il 	 Otherwise known as the giant desert hairy scorpion. Nick found a piece of the molted exoskeleton next to Pete Corday's body in the restroom. You were able to trace it? Unfortunately no. The giant desert hairy scorpion is quite common in Nevada. 	 Aussi appelé le géant scorpion poilu du désert. Nick a trouvé une pièce fondue de l'exosquelette près du corps de Pete Corday. - Tu as pu le tracer ? - Malheureusement, non. Ce  scorpion  du désert est assez commun au Névada. 	 None 	 scorpion 
I know it would be in good hands with you at the helm. 	 Il 	 John, we've talked about this. I've already got a job. I'm not asking you to just join the team. I'm asking you to run it. You want me to take over the crime lab in San Diego? 	 John, on en a déjà parlé. J'ai déjà un job. Je ne vous demande pas que de rejoindre l'équipe. Je vous demande de la diriger. Vous voulez que je reprenne le  labo  de la crime à San Diego ? 	 None 	 labo 
I ran his username through a search engine, to see if it would pop up on any other site, and I found this profile. 	 J'ai lancé son pseudo via un moteur de recherche, voir s'il 	 So it turns out that the murder weapon is not the only knife made from Lucas Reem's bones. Rumored to be eight of them out there. Any idea who has them? No, but there is a user who is trying to track them down. He goes by the name of DesertSky60, and he has spent the last month asking about those knives. 	 L'arme du crime n'est pas le seul couteau fabriqué avec les os de Lucas Reem. D'après ce qui est dit, il y en a 8. Une idée de qui les a ? Mais un  utilisateur  a essayée de les localiser. Son pseudo est DesertSky60, et il a passé le dernier mois à questionner sur ces couteaux. 	 None 	 utilisateur 
The mucus it excretes is nasty stuff, And it replenishes on its own. 	 Le mucus qu'il 	 But turning my back on her in that moment Just didn't seem right. Is it safe? Can we take it with us? that stuff jumped out of that capsule, Hit that rat in a second, and it was dead instantly. And this is test subject number two. 	 Mais lui tourner le dos en ce moment ne semble pas juste. Est-ce sûr ? Peut-on le prendre avec nous ? Ce  truc  a sauté de cette capsule, frappé ce rat en une seconde, et était mort d'un coup. Et c'est le sujet test numéro 2. 	 None 	 truc 
I know it belongs to another, one you've been denied these many years. 	 Je sais qu'il 	 You're a man of internal frustration, born of common blood, who's all but ruled the kingdom... yet forced to remain in the shadows while sons are born. Except now there is no heir. Instead there's opportunity. This... opportunity... would secure your position as well before others take it from us both. I wouldn't claim your heart, my lady. 	 Vous êtes un homme qui cache sa frustration, né du sang commun, qui gouverne presque le royaume... mais forcé de rester dans l'ombre pendant que des fils naissent. Sauf que maintenant il n'y a pas d'héritier. A la place il y a une opportunité. Cette... opportunité... sécuriserait notre position avant que d'autres nous la prennent. Je ne revendiquerais pas votre  cœur , ma Dame. 	 None 	 cœur 
It's... it-it's like it's carrying a virus. 	 C'est comme si... il 	 Mike doesn't know he's not the father. Who is the father? There were a few one-night stands. I'm not proud of it. What's wrong with my baby? 	 Mike ne sait pas qu'il n'est pas le père. Qui est le père ? Il y a eu quelques coups d'un soir. Je n'en suis pas fière. Qu'est-ce qui ne va pas avec mon  bébé  ? 	 None 	 bébé 
And it affects the fetus. 	 Et il 	 Who is the father? There were a few one-night stands. I'm not proud of it. What's wrong with my baby? It's... it-it's like it's carrying a virus. 	 Qui est le père ? Il y a eu quelques coups d'un soir. Je n'en suis pas fière. Qu'est-ce qui ne va pas avec mon bébé ? C'est comme si... il avait un  virus . 	 None 	 virus 
And it occurred to us it must have come from the outside. 	 On s'est dit qu'il 	 I mean, she's a lady, you know? Probably descended from royalty or something, and my ancestors are all bookies out of Phoenix. Hey, you hold your head high, okay? 'Cause in Phoenix, the bookies are royalty. Tom. You know, Judy and I were just talking about the time we had a raccoon in the vents, and we were wondering, how did that raccoon get in there? 	 Une vraie dame. Sûrement aristo ou un truc du genre, mes ancêtres sont des bookmakers de Phoenix. Garde la tête haute. Parce qu'à Phoenix, les bookmakers sont les rois. Judy et moi parlions de la fois où il y avait un  raton-laveur  dans la clim, et on se demandait, comment est-il entré ? 	 None 	 raton-laveur 
And it's exhibiting a significant amount of ecchymosis. 	 et il 	 You're gonna tell me all these ladies go to the same church? Justine Simmons didn't go back to church looking for forgiveness, she went back looking for clients. You know, maybe Alana was right, you know? We should, uh, talk to her father again. This piece of tissue Dr. Hodgins found is from the victim's scalp. 	 Tu es en train de me dire que toutes ces femmes vont à la même église ? Justine Simmons n'est pas retournée à l'église en quête de pardon, mais pour trouver des clients. Tu sais, peut-être qu'Alana avait raison, tu crois pas ? Ont devraient retournés parler à son père. Ce  morceau  de tissus que le Dr. Hodgins a trouvé provient du scalp de la victime. 	 None 	 morceau 
